,survey,subject,comment
0,Ways to hide helper function definitions (or easier ways to import functions from notebooks). But those might be bad practices,function,neutral
1,lazyness,function,neutral
2,"Having to setup a Jupyter server in a particular folder location before opening up a file (and then only having access to files beneath that folder). I wish I could navigate my computer just as I do with a File explorer, with search and preview options.   ",function,neutral
3,"- a standard option of converting the notebook to html, pdf,... with or without code cells, input/output prompts.  - easy integration in a static website (e.g. sphinx, ...)  where that static website is used as a sort of reporting tool - when converting to a certain format (rst, md, ...) the rendering of the output (e.g. pandas dataframes) also in that format provided the package has implemented this (e.g. pandas dataframes: in te notebook html representation, when converted to markdown a markdown representation,...) ",function,neutral
4,Mainly two missing features: 1. Collapsable sections 2. Multi-cell selection / copy-cut-paste,function,neutral
5,Maybe figure out how to schedule automated execution of notebooks?,performance,neutral
6,Don't use it to teach all of my courses (yet).,function,neutral
7,Browser becomes unresponsive when I start a too intensive computation.  Poor integration with my preferred code editors (pycharm or vim).  ,performance,negative
8,real time collaboration,time,neutral
9,My coworkers do not use them. Keybindings clash with vimperator.,function,negative
10,git integration,performance,neutral
11,Corporate IT policy Colleagues' lack of knowledge of PyData stack,function,negative
12,"It is very easy to do exploratory computing, but not so easy to persist results. I work in computational quantum physics, and in my ""old"" workflows, e.g., with Fortran codes, the computation and analysis were usually well-separated: The results from (potentially long-running) simulations were saved as text files, and then analyzed/plotted with, e.g., gnuplot.  Jupyter Notebook makes this more convenient by allowing me combine simulation and analysis in a single notebook without the intermediate step of saving text files and reading the data again. However, this also makes it much easier to ""lose"" results that only ever existed as data, but were not written to files. Going back to writing text files for all of the possibly interesting output would be a step back regarding the interactivity, so an easy way to save program state or something similar would be great. I realize this is not directly within the scope of the Jupyter Notebook, as it corresponds to a general persistence solution for Python, but it's definitely a pain point that is made more relevant by the dynamic nature of the Notebook.",function,positive
13,not too easy to integrate into a git workflow (diffs don't look nice and it is hard to see what has changed),function,neutral
14,"Poor experience opening notebooks in arbitrary locations, e.g., not in the /home tree, as there's no ""double-click file to start jupyter notebook"" feature (yet, I'm hoping)",function,negative
15,"IDE capabilities: debugging UI, refactorings,...",function,positive
16,working on notebooks collaboratively,function,neutral
17,Lack of multi-cell copy/paste (until now). Difficulties with version control and large notebooks. Poor documentation in general. Relatively frequent changes to the notebook format.,function,negative
18,Hub support for Windows. Better kernel reliability on Windows.,performance,positive
19,"Improved workflow to create reports with it. Just being able to cite papers from a bibtex file, spellchecking, reordering of chapters would be nice.",function,positive
20,"Mostly, the fact that not many colleagues, collaborators and customers use it or are familiar with it.",function,neutral
21,Time.,time,neutral
22,Documentation on how to use scripts at launch like before and configure the thing.  ,function,positive
23,"Lack of proper debugging tools (comparable to e.g. Eclipse IDE, Visual Studio or Matlab).",function,neutral
24,"I'm part of an analytic team that frequently works with sensitive data like medical data covered by HIPAA. Jupyter Hub might be ideal for us except that our IT management is unsure of its applicability in a secure setting. It might also need additional features related to user workspaces, definition of projects and analytic teams, and user-defined data and workbook sharing between projects and teams. ",performance,positive
25,Doesn't interact with git too well with lots of unimportant / temporary changes distracting from the real differences in a commit.,function,negative
26,"I want Jupyter to act like a normal text editor app in which I can easily open files, without the hassle of starting it from the console in the right place. Simple double click opening for all ipynbs please ",function,positive
27, ,function,neutral
28,- tighter integration with version control - cross project/directory search of notebooks - deployable notebooks - persistent widgets ,function,neutral
29,I use it despite the pain points.,function,negative
30,Lacking nice github integration Interactive figures are cumbersome (at least I haven't found the right tools),function,neutral
31,No code refactoring. Auto-complete gets super confused with indentations,function,neutral
32,"Give notebooks more editors/ide functionnality: easier file browsing, editing, serach and replace...",function,positive
33,Ability to easily move library code from notebooks to modules.,function,neutral
34, ,function,neutral
35,"I haven't worked out how to integrate storing notebooks into my normal workflow. Do I store notebooks in the directory struction with my other data/notebooks.  How do I ensure that, by default, the output is visilble to non-notebook users. Do I end up with lots of notebook servers in different directories",function,positive
36,Code editing is inferior to IDEs,function,negative
37,"""cognitive load"" of having too many steps: start ""ipython notebook"" (in a particular directory, which then almost uselessly takes over that terminal session), find the right notebook, start it up. I imagine that for most users the server is usually irrelevant. Why can't I just open/start a notebook?  (Note on Q3, below: do you really mean ""Jupyter notebook"" only, or ""ipython"", too? I am answering for the latter.",function,neutral
38,Nothing ,function,neutral
39,I am studying Jupyter Notebook at the college and I see that it will be very usefull to me at work.,function,positive
40,"In Mathematica, for instance, you can collapse sections, subsections, and even cells. Make that possible in Jupiter Notebook, too, please.",function,negative
41,No standardised solution for version control (I think there are a few ad-hoc tools out there at present but would rather learn/use something with momentum behind it).  Unexpected scrolling between cells when move cursor/focus or execute a cell (particularly when using Firefox and when have large cells).  Difficult to keep on top of API changes and developments in associated components e.g. widgets; ipython-dev and jupyter mailing lists can help here but useful info tends to get rather buried amongst things pertaining only to dedicated developers (and sysadmins interested in jupyterhub configs).  (I still love the project to bits though :-)),function,positive
42,"Sometimes I want to just play around with ideas, without storing them. Creating a notebook always means that a file with all the code remains until I manually delete it.",function,neutral
43,"Awkwardness in use cf. regular desktop editors - e.g. basic shortcuts for running a cell and making a new one vs. making a markdown one  Difficulty with installing (vast majority of) add-ons etc, no standardised way just getting off repos on GitHub and debugging the frequent errors (e.g. recently had to look in issues log of repo for how to install nbextensions properly when readme didnt guide right; rpy2 update changed the guidance on how to install and did not work so after a few hours I gave up trying to get R inside Python kernel NB; xonsh kernel did not work with the latest Jupyter version). I really like Jupyter and do my best to contribute with these issues when they come up but it feels rather in development still (which is totally fine but not great for my productivity)  ...also the fact that I'm fairly new to using Jupyter NBs probably holds me back :-)",function,negative
44,"The file browser feels clunky,  and I REALLY wish the checkpoint feature inside the notebooks would be implemented more completely. Autosaving is great, but not if we can only revert to the last save state. More save history!",function,negative
45, ,function,neutral
46,I mostly write libraries.  Notebooks are not the right artifact for non-interactive computing.,performance,neutral
47,I use the notebook for prototyping python code. I would love the ability to live-edit a module in one cell and interact with it in others.,function,positive
48,"It doesn't do SAS,  which is about half my work, the other half is Python. ",performance,positive
49,"Development environment, but it is about as regular as can be",performance,neutral
50,"The one dimensional interface.  It seems designed to be a single document rather than an complete interface. If you think about other powerful and ubiquitous software platforms, like Adobe Illustrator or Matlab, they often are designed around panels that expose useful information or interaction.  For example, an editor, variable browser, command line, etc.  I wish there were also multiple views within the Jupyter Notebook.",function,positive
51,I would appreciate to be also able to launch ipython notebook in a separate gui than the browser.,design,positive
52,"I don't actually use it for work, but for classes. If I did, thought, Jupyter would prove itself a great tool.",function,positive
53,"Git integration, CSS themes",performance,neutral
54, ,function,neutral
55,"better connections to external DBs, easier interact widgets.",function,positive
56,Installation / initialization of Jupyter,performance,neutral
57,I find it difficult to collaborate with colleagues who are all using Git. It is much easier to do this with plain Python files.,function,neutral
58,already a part of my workflow. Being able to convert from notebook to script is very important but I wish I could just run my notebook in production mode.,function,positive
59,"They are difficult to use with version control, and I prefer development in a text editor over development in a browser window.",design,neutral
60,"Sharing results in something like excel, which is still the de facto among our analysts, is sometimes difficult. ",function,positive
61,The ability to easily add your own hooks/scripts to extend functionality. This is fairly complex at this point.,performance,neutral
62,Integration with version control and production code,function,neutral
63, ,function,neutral
64,"lack of built-in versioning / organizational tools in the UI, need to go to the command line for configuration, and the fact that those configurations are difficult to make global for all of my users.",function,negative
65,static checking of code (ala pyflakes)  better integration with version control  better editor inside the code blocks,function,positive
66,Version control with git. Cell merging. Cell grouping and hiding. Vim key bindings. ,function,neutral
67,I am only a beginner programmer,function,neutral
68,"My work group lives and breathes in Excel, so once we move a lot of our data into a more usable format than SAP, we might be able to do in a notebook setting",function,positive
69,The only time I don't use it is when I need to run a script that needs to go for several hours on end.  Or for tasks that I need to pass along to others.,function,neutral
70,- Not available on all my computing environments and I have been struggling with jupyterhub setup. - No easy workflow with a version control system such as git .  Need a markup language in comments to  create a mapping between notebook cells and traditional flat files. - Detect running dependencies between cells.  Warn when a variable is reassigned between cells .   This might indicate a cell cannot be refreshed without refreshing the previous one.,function,negative
